source,affiliation,publish,year_of_publish,form_of_publish,one-two-sided,personas,comments,e-source,n-letters,target,year,source_wkid,target_wkid
"Боткин, Василий Петрович","очеркист, переводчик, критик","Боткин В. П. и Тургенев И. С. Неизданная переписка. 1851—1869. М.—Л., «Academia», 1930, 351 с. (Памятники лит. быта).",1930,переписка,двусторонняя,И. С. Тургеневу. (81). 1851—1869.,"","",81,Тургенев И. С.,1851|1869,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","П. В. Анненков и его друзья, т. I. Пб., А. С. Суворин, 1892, с. 516—577",1892,переписка,односторонняя,П. В. Анненкову. (31). 1846—1868.,"","",31,Анненков П. В.,1846|1868,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лит. насл., 1950, т. 56, с. 109—110, 117, 129, 138.",1950,переписка,односторонняя,М. А. Бакунину. (6). Май 1838—янв. 1840.,"","",6,Бакунин М. А.,1838|1840,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лит. насл., 1950, т. 56, с. 82—83.",1950,переписка,односторонняя,В. Г. Белинскому. (2). 1838.,"","",2,Белинский В. Г.,1838,Q2385068,Q192885
"Боткин, Василий Петрович","очеркист, переводчик, критик","В. Г. Белинский и его корреспонденты. М., 1948, с. 35—38.",1948,переписка,односторонняя,В. Г. Белинскому. (2). Окт. 1840.,"","",2,Белинский В. Г.,1840,Q2385068,Q192885
"Боткин, Василий Петрович","очеркист, переводчик, критик","Белинский. Письма, т. II. Ред. и прим. Е. А. Ляцкого. Пб., 1912, с. 383—386, 393, 394, 397—403, 416-422",1912,переписка,односторонняя,В. Г. Белинскому. (5). 1840—1842.,"","",5,Белинский В. Г.,1840|1842,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лепта Белинского. М., 1892, с. 32—34.",1892,письмо,односторонняя,В. Г. Белинскому. (1). 22 апр. 1842.,"","",1,Белинский В. Г.,1842,Q2385068,Q192885
"Боткин, Василий Петрович","очеркист, переводчик, критик","Помощь голодающим. М., 1892, с. 443—445.",1892,письмо,односторонняя,В. Г. Белинскому. (1). 22 апр. 1842.,"","",1,Белинский В. Г.,1842,Q2385068,Q192885
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лит. мысль, кн. 2. Пг., 1923, с. 173—191",1923,переписка,односторонняя,В. Г. Белинскому. (19). 1840—1847.,"","",19,Белинский В. Г.,1840|1847,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Литературная мысль, кн. 2. Пг., 1923, с. 159—173.",1923,переписка,односторонняя,М. П. Боткину. (14). 1859—1861.,"","",14,Боткин М. П.,1859|1861,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Л. Р. Ланского. — Лит. насл., 1950, т. 56, с. 166.",1950,письмо,односторонняя,А. И. Герцену. (1). 20 мая 1842.,"","",1,Герцен А. И.,1842,Q2385068,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Белинский. Письма, т. II. Ред. и прим. Е. А. Ляцкого. Пб., 1912, с. 425.",1912,отрывок,односторонняя,А. И. Герцену. (1). 28 мая 1842.,"","",1,Герцен А. И.,1842,Q2385068,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Рус. мысль, 1892, № 8, отд. II, с. 1—11.",1892,переписка,односторонняя,"А. И., Н. А. Герцен. (2). 1844—1846.","","",2,Герцен А. И.,1844|1846,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Рус. мысль, 1892, № 8, отд. II, с. 1—11.",1892,переписка,односторонняя,"А. И., Н. А. Герцен. (2). 1844—1846.","","",2,Герцен Н. А.,1844|1846,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лит. насл., 1955, т. 62, с. 37—46.",1955,переписка,односторонняя,А. И. Герцену. (3). 1847—1848.,"","",3,Герцен А. И.,1847|1848,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лит. насл., 1950, т. 56, с. 147, 152, 156.",1950,переписка,односторонняя,К. А. Горбунову. (3). 1840—1841.,"","",3,Горбунов К. А.,1840|1841,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Письма к А. В. Дружинину. М., 1948, с. 35—60. (Летописи Гослитмузея, № 9).",1948,переписка,односторонняя,А. В. Дружинину. (17). 1855—1860.,"","",17,Дружинин А. В.,1855|1860,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","В. П. Боткин и И. С. Тургенев. Неизданная переписка. 1851—1869. М.—Л., «Academia», 1930, с. 302—303.",1930,письмо,односторонняя,А. В. Дружинину. (1). 2 апр. 1857.,"","",1,Дружинин А. В.,1857,Q2385068,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Щукинский сборник, вып. 10. М., 1912, с. 242—244.",1912,переписка,односторонняя,А. П. Ефремову. (8). 1839—б. д.,"","",8,Ефремов А. П.,1839,Q2385068,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лит. насл., 1950, т. 56, с. 123—124.",1950,письмо,односторонняя,М. Н. Каткову. (1). 10 февр. 1839.,"","",1,Катков М. Н.,10|1839,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Белинский В. Г. Полное собрание сочинений, т. XI. М., АН СССР, 1956, с. 251.",1956,письмо,односторонняя,П. П. Клюшникову. (1). 26—30 июня 1838.,"","",1,Клюшников П. П.,1838,Q2385068,
"Боткин, Василий Петрович","очеркист, переводчик, критик","В. П. Боткин и И. С. Тургенев. Неизданная переписка. М.—Л., «Academia», 1930, с. Х.",1930,письмо,односторонняя,Д. Я. Колбасину. (1). Б. д.,"","",1,Колбасин Д. Я.,,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Отчет имп. Публичной библиотеки за 1889 год. Пб., 1893. Прилож., с. 32—109.",1893,переписка,односторонняя,А. А. Краевскому. (46). 1841—1856.,"","",46,Краевский А. А.,1841|1856,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Белинский В. Г. Полное собрание сочинений, т. XII. М., АН СССР, 1956, с. 164—165, 167.",1956,приписки,односторонняя,А. А. Краевскому. (3). 1843.,приписки в письмах В. Г. Белинского,"",3,Краевский А. А.,1843,Q2385068,Q2846822
"Боткин, Василий Петрович","очеркист, переводчик, критик","Печать и рев., 1925, № 5—6, с. 175—177.",1925,переписка,односторонняя,Н. Я. Макарову. (3). 1859.,"","",3,Макаров Н. Я.,1859,Q2385068,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Рус. архив, 1872, № 5, с. 1055—1056.",1872,отрывок,односторонняя,Неизвестному. (1). 14 марта 1864.,"","",1,Неизвестный ,14|1864,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лит. насл., 1949, т. 51-52, с. 166—168",1949,письмо,односторонняя,Н. А. Некрасову. (1). 22 авг. 1847.,"","",1,Некрасов Н. А.,1847,Q2385068,Q208003
"Боткин, Василий Петрович","очеркист, переводчик, критик","Голос мин., 1916, № 5—6, с. 35; № 9, с. 171-191; № 10, с. 81—97.",1916,переписка,односторонняя,Н. А. Некрасову. (22). 1855—1856.,"","",22,Некрасов Н. А.,1855|1856,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Звенья, т. VIII. М., Госкультпросветиздат, 1950, с. 784—737.",1950,переписка,односторонняя,О. Н. Новиковой. (4). 1865—1867.,"","",4,Новикова О. Н.,1865|1867,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Рус. мысль, 1890, № 3, отд. I, с. 2—3.",1890,приписка,односторонняя,Н. П. Огареву. (1). 18 апр. 1843.,приписка к письму А. И .Герцена,"",1,Огарев Н. П.,18|1843,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Герцен А. И. Полное собрание сочинений и писем, т. III. Пг., 1919, с. 237",1919,приписка,односторонняя,Н. П. Огареву. (1). 18 апр. 1843.,приписка к письму А. И .Герцена,"",1,Огарев Н. П.,18|1843,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Рус. мысль, 1890, № 3, отд. I, с. 4.",1890,приписка,односторонняя,Н. П. Огареву. (1). 23 апр—4 мая 1843.,приписка к письму А. И .Герцена,"",1,Огарев Н. П.,1843,Q2385068,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Звенья, т. VI. М.—Л, «Academia», 1936, с. 354—355.",1936,письмо,односторонняя,Н. П. Огареву. (1). 5 июля 1844.,"","",1,Огарев Н. П.,1844,Q2385068,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Рус. мысль, 1891, № 8, отд. I, с. 1—4",1891,письмо,односторонняя,Н. П. Огареву. (1). 17 февр. 1845.,"","",1,Огарев Н. П.,17|1845,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лит. насл., 1955, т. 62, с. 786—787.",1955,отрывок,односторонняя,Н. П. Огареву. (1). 17 февр. 1845.,"","",1,Огарев Н. П.,17|1845,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Голос мин., 1914, № 9, с. 209—210",1914,письмо,односторонняя,А. Н. Островскому. (1). 16 марта 1860.,"","",1,Островский А. Н.,16|1860,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Неизданные письма к А. Н. Островскому. М—Л., «Academia», 1932, с. 41—43",1932,письмо,односторонняя,А. Н. Островскому. (1). 16 марта 1860.,"","",1,Островский А. Н.,16|1860,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Тургенев и круг «Современника». М.—Л., «Academia», 1930, см. указатель имен.",1930,переписка,односторонняя,И. И. Панаеву. (14). 1856—1858.,"","",14,Панаев И. И.,1856|1858,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Петерб. вед., 1869, № 214, 6 авг, с. 1.",1869,письмо,односторонняя,ред. «Петербургских ведомостей». (1). 29 июля 1869.,"","",1,ред. «Петербургских ведомостей» ,1869,Q2385068,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Сборник Пушкинского дома на 1923 год. Пг., 1922, с. 281.",1922,письмо,односторонняя,Д. В. Стасову. (1). 17 мая 1859.,"","",1,Стасов Д. В.,17|1859,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лит. насл., 1950, т. 56, с. 120—121.",1950,письмо,односторонняя,Н. В. Станкевичу. (1). 13 дек. 1838.,"","",1,Станкевич Н. В.,13|1838,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Толстой. Памятники творчества и жизни, вып. 4. М., 1923, с. 3—87.",1923,переписка,двусторонняя,Л. Н. Толстому. (9). 1857—1862.,"","",9,Толстой Л. Н.,1857|1862,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Достоевский Ф. М. и Тургенев И. С. Переписка. Л., «Асаdemia», 1928, с. 56, 67, 80—81.",1928,отрывки,односторонняя,И. С. Тургеневу. (4). 1863.,"","",4,Тургенев И. С.,1863,Q2385068,Q42831
"Боткин, Василий Петрович","очеркист, переводчик, критик","Фет А. Мои воспоминания, ч. I. М., 1890.",1890,переписка,односторонняя,"А. А., М. П. Фет. (79). 1857—1869.","","",79,Фет А. А.,1857|1869,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Фет А. Мои воспоминания, ч. I. М., 1890.",1890,переписка,односторонняя,"А. А., М. П. Фет. (79). 1857—1869.","","",79,Фет М. П.,1857|1869,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лит. насл., 1952, т. 58, с. 747 (в прим. к письму № 198).",1952,отрывок,односторонняя,М. А. Языкову. (1). 25 февр. 1852.,"","",1,Языков М. А.,1852,Q2385068,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Лит. насл., 1955, т. 62, с. 5—788.",1955,переписка,односторонняя,А. И. Герцену. (3). 1847—1848.,"","",3,Герцен А. И.,1847|1848,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Письма к А. В. Дружинину. М., 1948, 423 с. (Летописи Гослитмузея, № 9).",1948,переписка,односторонняя,А. В. Дружинину. (17). 1855—1860.,"","",17,Дружинин А. В.,1855|1860,,
"Боткин, Василий Петрович","очеркист, переводчик, критик","Литературное наследство, 1949, т. 51—52, с. 75—568, 627.",1949,письмо,односторонняя,Н. А. Некрасову. (1). 1847.,"","",1,Некрасов Н. А.,1847,Q2385068,Q208003
"Боткин, Василий Петрович","очеркист, переводчик, критик","Неизданные письма к А. Н. Островскому. Из архива А. Н. Островского по материалам Театр, музея им. А. А. Бахрушина. М.—Л., «Academia», 1932, 743 с. (Памятники лит. и общ. быта).",1932,письмо,односторонняя,А. Н. Островскому. (1). 16 марта 1860.,"","",1,Островский А. Н.,16|1860,,
"Боткин, Николай Петрович",брат В. П. Боткина,"Литературное наследство, 1949, т. 51—52, с. 75—568, 627.",1949,письмо,односторонняя,Н. А. Некрасову. (1). 1866.,"","",1,Некрасов Н. А.,1866,,Q208003
Бочелл,?,"Изв. Отд. рус. яз. и словесн., 1904, т. IX, №2, с. 84—95.",1904,письмо,односторонняя,И. И. Козлову. (1). 7 мая 1835.,"","",1,Козлов И. И.,1835,,Q968274
"Булгаков, Александр Яковлевич","дипломат, сенатор, московский почт-директор","Изв. Отд. рус. яз. и словесн., 1901, т. VI, № 4, с. 237—238, 243—266.",1901,письмо,письмо,П. А. Вяземскому. (1). 4 окт. 1837.,"","",1,Вяземский П. А.,1837,Q4098834,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Лемке М. К. Николаевские жандармы и литература. Пб., 1908, с. 232—358.",1908,переписка,односторонняя,А. Х. Бенкендорфу. (8). 1827—1830.,"","",8,Бенкендорф А. Х.,1827|1830,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Лемке М. К. Николаевские жандармы и литература. Пб., 1908, с. 232—358.",1908,письмо,односторонняя,Г. П. Волконскому. (1). 1843.,"","",1,Волконский Г. П.,1843,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Лемке М. К. Николаевские жандармы и литература. Пб., 1908, с. 232—358.",1908,переписка,односторонняя,П. И. Гаевскому. (2). 1828.,"","",2,Гаевский П. И.,1828,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Лемке М. К. Николаевские жандармы и литература. Пб., 1908, с. 232—358.",1908,переписка,односторонняя,Л. В. Дубельту. (18). 1839—1851.,"","",18,Дубельт Л. В.,1839|1851,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Лемке М. К. Николаевские жандармы и литература. Пб., 1908, с. 232—358.",1908,письмо,односторонняя,А. Л. Крылову (цензору). (1). 26 дек. 1848.,"","",1,Крылов А. Л.,1848,Q561639,Q21684151
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Лемке М. К. Николаевские жандармы и литература. Пб., 1908, с. 232—358.",1908,переписка,односторонняя,А. В. Никитенко. (4). 1835—1844.,"","",4,Никитенко А. В.,1835|1844,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Лемке М. К. Николаевские жандармы и литература. Пб., 1908, с. 232—358.",1908,письмо,односторонняя,К. Ф. Рылееву. (1). Март 1825.,"","",1,Рылеев К. Ф.,1825,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1905, № 12, с. 709—715.",1905,письмо,односторонняя,А. Х. Бенкендорфу. (1). 22 февр. 1830.,"","",1,Бенкендорф А. Х.,1830,Q561639,Q25672
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1900, № 7, с. 134.",1900,письмо,односторонняя,А. П. Брюллову. (1). 30 марта 1840.,"","",1,Брюллов А. П.,1840,Q561639,Q620766
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Греч Н. И. Записки о моей жизни. Пб., А. С. Суворин, 1886, с. 494.",1886,письмо,односторонняя,А. Ф. Воейкову. (1). 1820.,"","",1,Воейков А. Ф.,1820,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Отчет имп. Публ. б-ки за 1892 г. Пб., 1895, прилож, с. 58—60.",1895,письмо,односторонняя,Г. П. Волконскому. (1). 11 мая 1843.,"","",1,Волконский Г. П.,11|1843,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Отчет имп. Публ. б-ки за 1892 г. Пб., 1895, прилож, с. 61—65.",1895,переписка,односторонняя,П. И. Гаевскому. (2). 1828.,"","",2,Гаевский П. И.,1828,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Сборник статей по истории и статистике русской периодической печати. Пб., Рус. библиолог. об-во, 1903, с. 65—66.",1903,переписка,односторонняя,Ф. Н. Глинке. (3). 1825—1829.,"","",3,Глинка Ф. Н.,1825|1829,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Беседы в Об-ве любителей росс. словесн., вып. III. М., 1871, с. 33—34.",1871,переписка,односторонняя,А. Н. Голицыну. (2). ?.,на фр. языке,"",2,Голицын А. Н.,,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Литературные портфели, вып. 1. Пг., «Атеней», 1923, с. 51—62.",1923,письмо,односторонняя,Н. И. Гречу. (1). 16 июля 1823.,"","",1,Греч Н. И.,16|1823,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Лит. вест., 1901, № 2, с. 172—177.",1901,переписка,односторонняя,Н. И. Гречу. (2). 1826—1844.,"","",2,Греч Н. И.,1826|1844,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. архив, 1870, № 10, с. 1934—1944.",1870,письмо,односторонняя,Н. И. Гречу. (1). 15 окт. 1836.,"","",1,Греч Н. И.,15|1836,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Др.и новая Россия, 1876, т. I, с. 98.",1876,переписка,односторонняя,Н. И. Гречу. (2). 1850.,"","",2,Греч Н. И.,1850,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1893, № 4, с. 54.",1893,письмо,односторонняя,В. И. Далю. (1). 3 дек. 1843.,"","",1,Даль В. И.,1843,Q561639,Q326499
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Наша ст., 1916, № 1, с. 70—71.",1916,письмо,односторонняя,Л. В. Дубельту. (1). Ноябрь 1844.,"","",1,Дубельт Л. В.,1844,Q561639,Q4169076
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1902, № 9, с. 638.",1902,письмо,односторонняя,М. Н. Загоскину. (1). 29 окт. 1843.,"","",1,Загоскин М. Н.,1843,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Сборник старинных бумаг, хранящихся в музее П. И. Щукина, ч. Х. М., П. И. Щукин, 1902, с. 472—474",1902,письмо,односторонняя,А. А. Закревскому. (1). 19 июля 1830.,"","",1,Закревский А. А.,19|1830,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Лит. вест., 1901, № 2, с. 179—180.",1901,письмо,односторонняя,Р. М. Зотову. (1). Июль 1846.,"","",1,Зотов Р. М.,1846,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1889, № 7, с. 111.",1889,письмо,односторонняя,А. А. Ивановскому. (1). 19 марта 1826.,"","",1,Ивановский А. А.,19|1826,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Ист. вест., 1902, № 3, с. 931—934",1902,переписка,односторонняя,Конференции Медико-хирургической академии. (2). 1848.,"","",2,Конференция Медико-хирургической академии ,1848,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1889, № 2, с. 326—327.",1889,письмо,односторонняя,А. О. Корниловичу. (1). [1820—1823].,"","",1,Корнилович А. О.,1820|1823,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Отчет имп. Публ. б-ки за 1884 г. Пб., 1887, с. 143—144.",1884,письмо,односторонняя,Н. В. Кукольнику. (1). 28 ноября 1842.,"","",1,Кукольник Н. В.,1842,Q561639,Q4245822
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Варшавские губ. вед., 1877, №№ 16—17, с. 115, 119—120.",1877,переписка,односторонняя,И. Лелевелю. (12). 1821—1830.,"","",12,Лелевель И.,1821|1830,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. архив, 1869, № 9, с. 1553—1559.",1869,письмо,односторонняя,И. П. Липранди. (1). 23 марта. 1855.,"","",1,Липранди И. П.,1855,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Ст. и новизна, 1905, кн. 9. с. 324—325.",1905,письмо,односторонняя,И. С. Менджинскому. (1). 20 дек. 1835.,"","",1,Менджинский И. С.,1835,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Ист. вест., 1881, № 10, с. 446—447.",1881,письмо,односторонняя,Нарвской городовой полиции. (1). 18 сент. 1837.,"","",1,Нарвская городовая полиция ,18|1837,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Библиогр. зап., 1859, т.II, с. 621—623.",1859,письмо,односторонняя,Неизвестному [Михаилу Александровичу]. (1). 1 марта 1832.,"","",1,Неизвестный ,1832,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1900, № 1, с. 172—184.",1900,переписка,односторонняя,А. В. Никитенко. (19). 1834—1847.,"","",19,Никитенко А. В.,1834|1847,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Голос мин., 1913, № 4, с. 207—208.",1913,письмо,односторонняя,А. Ф. Орлову. (1). 13 марта 1848.,"","",1,Орлов А. Ф.,13|1848,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Ист. вест., 1882, № 12, с. 723—724.",1882,письмо,односторонняя,Л. А. Перовскому. (1). 27 апр. 1846.,"","",1,Перовский Л. А.,1846,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Барсуков Н. Жизнь и труды М. П. Погодина, т. II. Пб., 1889, с. 6—7, 10, 118-122, 162, 168; т. III, с. 47 - 48.",1889,переписка,односторонняя,М. П. Погодину. (11). 1826—1830.,"","",11,Погодин М. П.,1826|1830,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1871, № 12, с. 678—680.",1871,письмо,односторонняя,Н. А. Полевому. (1). 19 февр. 1828.,"","",1,Полевой Н. А.,19|1828,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1900, № 9, с. 577—579.",1900,письмо,односторонняя,А. Н. Потапову. (1). 12 мая 1826.,"","",1,Потапов А. Н.,12|1826,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Пушкин А. С. Полное собрание сочинений, т. XIII. М.—Л., АН СССР, 1937, с. 168.",1937,переписка,двусторонняя,А. С. Пушкину. (1). 25 апр. 1825.,"","",1,Пушкин А. С.,1825,Q561639,Q7200
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Пушкин А. С. Полное собрание сочинений, т. XIV. М.—Л., 1941, с. 67.",1941,переписка,двусторонняя,А. С. Пушкину. (1). 18 февр. 1830.,"","",1,Пушкин А. С.,18|1830,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Др. и новая Россия, 1876, т. I, с. 99.",1876,письмо,односторонняя,Я. И. Ростовцеву. (1). 23 ноября 1854.,"","",1,Ростовцев Я. И.,1854,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Греч. Н. И. Записки о моей жизни. Пб., А. С. Суворин, 1886, с. 475—476.",1886,письмо,односторонняя,Я. И. Ростовцеву. (1). 23 ноября 1854.,"","",1,Ростовцев Я. И.,1854,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1897, № 12, с. 568.",1897,письмо,односторонняя,Д. П. Руничу. (1). 17 июня 1823.,"","",1,Рунич Д. П.,17|1823,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рылеев К. Ф. Сочинения и переписка. Пб., 1872, с. 250—251.",1872,письмо,односторонняя,К. Ф. Рылееву. (1). 8 сент. 1823.,"","",1,Рылеев К. Ф.,1823,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Наша ст., 1886, № 11, с. 445—460.",1886,переписка,односторонняя,А. Я. Стороженко. (11). 1833—1847.,"","",11,Стороженко А. Я.,1833|1847,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Ист. вест., 1894, № 12, с. 633.",1894,письмо,односторонняя,Ф. П. Толстому. (1). 21 апр. 1838.,"","",1,Толстой Ф. П.,1838,Q561639,Q742253
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Ст. и новизна, 1905, кн. 9, с. 320.",1905,письмо,односторонняя,А. М. Фадееву. (1). 29 марта 1824.,"","",1,Фадеев А. М.,1824,Q561639,Q4480433
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1872, № 3, с. 481—482.",1872,письмо,односторонняя,П. В. Хавскому. (1). 28 февр. 1852.,"","",1,Хавской П. В.,1852,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1909, № 11 с. 347—357.",1909,переписка,односторонняя,В. А. Ушакову. (2). 1827—1828.,"","",2,Ушаков В. А.,1827|1828,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Сборник старинных бумаг, хранящихся в музее П. И. Щукина, ч. IX. М., П. И. Щукин, 1901, с. 215—216.",1901,письмо,односторонняя,Ф. Ф. Шуберту. (1). 18 апр. 1837.,"","",1,Шуберт Ф. Ф.,18|1837,,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Лит. вест., 1901, № 8, с. 310—313; 1902, № 3, с. 259—260; № 8, с. 343—351.",1901—1902,переписка,односторонняя,Ф. Н. Глинке. (3). Б. д.—6 февр. 1829.,"","",3,Глинка Ф. Н.,1829,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1902, № 7, с. 81—106; № 8, с. 349— 365; № 9, с. 615— 633.",1902,письмо,односторонняя,М. Н. Загоскину. (1). 29 окт. 1843.,"","",1,Загоскин М. Н.,1843,Q561639,
"Булгарин, Фаддей Венедиктович","писатель, журналист, критик и издатель","Рус. ст., 1888, № 10, с. 166; № 12, с. 583, 584, 586-590; 1889, № 2, с. 326—328.",1888—1889,письмо,односторонняя,А. О. Корниловичу. (1). 1820—1821.,"","",1,Корнилович А. О.,1820|1821,,
"Бунге, Фридрих Георг","историк права, юрист","Переписка А. Х. Востокова в повременном порядке. Комм. И. Срезневского. Пб., 1873, XL, 509 с.",1873,переписка,односторонняя,А. Х. Востокову. (3). 1833—1834.,"","",3,Востоков А. Х.,1833|1834,,
"Бунина, Анна Петровна","поэтесса, переводчица","Николай Михайлович (вел. кн.). Император Александр I. Опыт исторического исследования. Т. I. Пб., 1912, с. 573—574",1912,письмо,односторонняя,А. Н. Голицыну. (1). 13 июня 1824.,"","",1,Голицын А. Н.,13|1824,,
"Бунина, Анна Петровна","поэтесса, переводчица","Рус. ст., 1897, №8, с. 352—353.","1897, №8",письмо,односторонняя,А. И. Михайловскому-Данилевскому. (1). 1818.,"","",1,Михайловский-Данилевский А. И.,1818,Q4099212,
"Бунина, Анна Петровна","поэтесса, переводчица","Рус. архив, 1908, № 4, с. 524—535.",1908,переписка,односторонняя,М. Н. Семенову. (7). 1812—1823.,"","",7,Семенов М. Н.,1812|1823,,
"Буренин, Виктор Петрович","театральный и литературный критик, публицист, поэт-сатирик, драматург","Лит. насл., 1949, т. 51—52, с. 169—170.",1949,переписка,односторонняя,Н. А. Некрасову. (2). 1871—1872.,"","",2,Некрасов Н. А.,1871|1872,,
