 source_id;source_full;pages;source_year_begin;source_year_end;place
952;Вест. Евр, 1905, № 4, с. 620—628;620-628;1905;1905;
953;Рус. архив, 1900, № 2, с. 72—73.;72-73;1900;1900;
954;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502.;231-502;1955;1955;М.: Гос. изд-во худож. лит.
955;Рус. архив, 1900, № 5, с. 68—74.;68-74;1900;1900;
956;Зв., 1945, № 7, с. 146;146;1945;1945;
957;"Временник Пушкинского дома. Пг., 1915, с. 99—130; отд. оттиск: Пг., 1915, 39 с.";99-130;1915;1915;Пг.
958;"Рус. ст., 1914, № 2, с. 403—437, № 3, с. 538—551; № 4, с. 48—59.";48-59;1914;1914;
959;Огни, кн. 1. Пг., 1916, с. 188—191, 193, 194, 196—198, 204, 205, 207—209, 214, 215.;188-191, 193, 194, 196-198, 204, 205, 207-209, 214, 215;1916;1916;Пг.
960;Резец. 1937, № 12, с. 16;16;1937;1937;
961;Вест. Евр., 1908. № 12, с. 445—455.;445-455;1908;1908;
962;Речь, 1916, № 254, 15 сент, с. 1.;1;1916;1916;
963;Рус. лит-ра, 1959, № 4, с. 186—188.;186-188;1959;1959;
964;Голос мин., 1919, № 1-4, с. 239.;239;1919;1919;
965;Голос мин., 1913, № 12, с. 252.;252;1913;1913;
966;Ист. вест., 1914, № 12, с. 875—876.;875-876;1914;1914;
967;Новое вр., 1912, № 13 024, 16 июня, прилож., с. 8—10.;8-10;1912;1912;
968;Писемский А. Ф. Письма. М.—Л., АН СССР, 1936, с. 636.;636;1936;1936;М.-Л., АН СССР
969;Петербургский дневник театрала, 1905, № 15—16, с. 3.;3;1905;1905;
970;Гончаров И. А. Литературно-критические статьи и письма. Л., ГИХЛ, 1938, с. 367—368.;367-368;1938;1938;Л., ГИХЛ
971;Кр. архив, 1923, № 2, с. 257—262.;257-262;1923;1923;
972;Рус. архив, 1899, № 1, с. 192—197.;192-197;1899;1899;
973;Русские писатели о литературе, т. I. Л., «Сов. писатель», 1939, с. 383, 384, 396, 397, 403, 407, 408, 411, 412, 422, 424.;383, 384, 396, 397, 403, 407, 408, 411, 412, 422, 424;1939;1939;Л., «Сов. писатель»
974;Либрович С. Ф. На книжном посту. Пг., М. О. Вольф, 1916, с. 77.;77;1916;1916;Пг., М. О. Вольф
975;Писемский А. Ф. Письма. М., АН СССР, 1936, с. 632, 633, 697, 698, 712, 723—726.;632, 633, 697, 698, 712, 723-726;1936;1936;М., АН СССР
976;Новь, 1891, № 13—14, с. 39—45.;39-45;1891;1891;
977;Вест. Евр., 1912, № 7, с. 355—357.;355-357;1912;1912;
978;Голос, 1883, № 15, 15 янв., с. 2.;2;1883;1883;
979;Голос мин., 1913, № 12, с. 251—252.;251-252;1913;1913;
980;Pуc. ст., 1912, № 6, с. 523—527.;523-527;1912;1912;
981;Огонек. 1926, № 20, с. 10—11.;10-11;1926;1926;
982;Голос мин., 1923, № 2, с. 169—175.;169-175;1923;1923;
983;Неделя, 1883, № 40, 2 окт, с. 1326.;1326;1883;1883;
984;Юбилейный сборник Литературного фонда. Пб., 1909, с. 363—365.;363-365;1909;1909;Пб.
985;Рус. ст., 1912. № 6, с. 515.;515;1912;1912;
986;Вест. Евр., 1908, № 12, с. 430—431, 434—437.;430-431, 434-437;1908;1908;
987;Вест. Евр., 1908, № 12, с. 419—420.;419-420;1908;1908;
988;Совр., 1912, № 6, с. 173—175.;173-175;1912;1912;
989;"Голос мин., 1913. № 11, с. 47, 48, 215—235; № 12, с. 230—251.";230-251;1913;1913;
990;Рус. ст., 1898, № 5, с. 320—324.;320-324;1898;1898;
991;Уч. зап. Куйбышевского пед. ин-та, 1942, вып. 6, с. 197—198.;197-198;1942;1942;
992;Бейсов П. С. Гончаров и родной край. Ульяновск, 1951, с. 102—106.;102-106;1951;1951;Ульяновск
993;Вопросы изучения русской литературы XI—XX вв. М.—Л., АН СССР., 1958, с. 191—193, 195.;191-193, 195;1958;1958;М.-Л., АН СССР.
994;Литературный архив, т. III. М.—Л., АН СССР, 1951, с. 91—165.;91-165;1951;1951;М.-Л., АН СССР
995;"Звенья, т. V. М., ""Academia"" 1935. с. 759—760.";759-760;1935;1935;М., «Academia»
996;Папаева А. Я. Воспоминания. М., Гослитиздат, 1956, с. 267.;267;1956;1956;М., Гослитиздат
997;Рус. мысль, 1895, № 2, с. 227—230;227-230;1895;1895;
998;Литературно-критические статьи и письма. Л., ГИХЛ, 1938, с. 337—348.;337-348;1938;1938;Л., ГИХЛ
999;Рус. ст., 1911, № 10, с. 56—59.;56-59;1911;1911;
1000;Кр. архив, 1923, № 4, с. 376—382.;376-382;1923;1923;
1001;Гончаров И. А. Литературно-критические статьи и письма. Л., ГИХЛ, 1938, с. 336—349.;336-349;1938;1938;Л., ГИХЛ
1002;М. М. Стасюлевич и его современники в их переписке, т. IV. Пб., 1912, с. 4—218.;4-218;1912;1912;Пб.
1003;The Slavonic and East European Review, 1952, т. XXX, № 75, с. 562—563.;562-563;1952;1952;
1004;Pуc. вед., 1891, № 264, 25 сент. с. 4.;4;1891;1891;
1005;Голос мин., 1916, № 12, с. 141, 145, 146.;141, 145, 146;1916;1916;
1006;Рус. прошлое, 1923, № 5,. с. 147—149.;147-149;1923;1923;
1007;Звенья, т. V. М., «Academia», 1935, с. 514—518.;514-518;1935;1935;М., «Academia»
1008;Штакеншнейдер Е. А. Дневник и записки. Мю, «Academia», 1934, с. 251—253.;251-253;1934;1934;М., «Academia»
1009;Новое вр, 1912, №№ 13017, 13024, 13 038 от 9, 16 и 30 июня, прилож.;;1912;1912;
1010;Рус. ст., 1911, № 3. с. 476—477.;476-477;1911;1911;
1011;Г.: Собрание сочинений, т. VIII. М., Гослитиздат, 1955, с. 442, 443, 553.;442, 443, 553;1955;1955;М., Гослитиздат
1012;;202-203;1959;1959;
1013;Голос мин., 1919, № 1—4, с. 236—238.;236-238;1919;1919;
1014;Бирюч петроградских театров, 1919, № 11—12, с. 105.;105;1919;1919;
1015;Новое вр., 1912, № 12 943, 24 марта, прилож, с. 17—18.;17-18;1912;1912;
1016;Pуc. ст., 1912. № 6, с. 515.;515;1912;1912;
1017;Герцен А. И. Полное собрание сочинений и писем, т. XIX. Пг., ГИЗ, 1922, с. 5—6.;5-6;1922;1922;Пг., ГИЗ
1018;Огни, кн. 1. Пг., 1916, с. 201—204.;201-204;1916;1916;Пг.
1019;И. А. Гончаров в неизданных письмах к графу П. А. Валуеву. Пб., 1906, с. 10—64.;10-64;1906;1906;Пб.
1020;Кр. архив, 1923, № 2, с. 263—267.;263-267;1923;1923;
1021;Ежем. сочинения, 1903, № 1, с. 10—14.;10-14;1903;1903;
1022;Зв., 1945, № 7, с. 145—146.;145-146;1945;1945;
1023;Вест. Евр., 1883, № 3, с. 445—446.;445-446;1883;1883;
1024;Литературный архив, т. IV. М—Л., АН СССР, 1953, с. 107—162.;107-162;1953;1953;М-Л., АН СССР
1025;Нарышкина Е. Мои воспоминания. Пб., 1910, с. 327—335.;327-335;1910;1910;Пб.
1026;Письма русских писателей к А. С. Суворину. Л., 1927, с. 22.;22;1927;1927;Л.
1027;Лит. вест., 1901, № 1, с. 178—179.;178-179;1901;1901;
1028;Рус. ст., 1908, № 12, с. 734.;734;1908;1908;
1029;Либрович С. Ф. На книжном посту. Пг., М. О. Вольф, 1916, с. 178.;178;1916;1916;Пг., М. О. Вольф
1030;Невский альманах («Из прошлого»), вып. 2. Пг., 1917, с. 8—43.;8-43;1917;1917;Пг.
1031;Щукинский сборник, т. X, М., 1912, с. 462—468.;462-468;1912;1912;М.
1032;30 дней, 1935, № 11, с. 59—61.;59-61;1935;1935;
1033;Неизданные письма к А. Н. Островскому. М.—Л,«Academia», 1932, с. 660—673.;660-673;1932;1932;М.-Л., «Academia»
1034;Писемский А. Ф. Письма. М.—Л., АН СССР, 1936, с. 620—621. (Ин-т лит-ры).;620-621;1936;1936;М.-Л., АН СССР
1035;Островский А. Н. Дневники и письма. М., «Асаdemia», 1937, с. 107—119.;107-119;1937;1937;М., «Асаdemia»
1036;Островский А. Н. Дневники и письма. М, «Academia», 1937, с. 106.;106;1937;1937;М., «Academia»
1037;Г.: Собрание сочинений, т. XXIX. М., Гослитиздат, 1955, с. 193, 197, 198, 209, 210.;193, 197, 198, 209, 210;1955;1955;М., Гослитиздат
1038;Лит. насл., 1948, т. 48, с. 415—427.;415-427;1948;1948;
1039;Рус. архив, 1911, № И, с. 367—384.;367-384;1911;1911;
1040;Стороженки. Фамильный архив, т. III. Киев, 1907, с. 90—93.;90-93;1907;1907;Киев
1041;Щукинский сборник, вып. 8. Пб., 1909, с. 437—457.;437-457;1909;1909;Пб.
1042;Рус ст., 1898, № 4, с. 205.;205;1898;1898;
1043;Остафьевский архив, т. II. Пб., С. Д. Шереметьев, 1899, с. 409.;409;1899;1899;Пб., С. Д. Шереметьев
1044;Рус. ст, 1888, № 10, с. 166.;166;1888;1888;
1045;"Пушкин А. С. Полное собрание сочинений, т. XV. М.—Л., АН СССР, 1948, с. 37, 55; т. XVI. М.—Л., 1949, с. 163.";163;1948;1948;М.-Л., АН СССР
1046;Лемке М. К. Николаевские жандармы и литература. Пб., С. В. Бунин, 1908, с. 292—293.;292-293;1908;1908;Пб., С. В. Бунин
1047;Переписка А. Х. Востокова. Пб., АН, 1873, с. 301, 394.;301, 394;1873;1873;Пб., АН
1048;Уч. зап. ими. Юрьевского ун-та, 1896, № 1, прилож, с. 47—51.;47-51;1896;1896;
1049;Рус. ст., 1893, № 4, с. 55—56.;55-56;1893;1893;
1050;Рус ст., 1892, № 6, с. 402-405.;402-405;1892;1892;
1051;Рус. ст., 1894, № 11, с. 323.;323;1894;1894;
1052;Ист. вест., 1886, № 10, с. 62.;62;1886;1886;
1053;Барсуков Н. Жизнь и труды М. П. Погодина, т. II. Пб., 1889, с. 121.;121;1889;1889;Пб.
1054;Рус. ст., 1871, № 12, с. 677—678.;677-678;1871;1871;
1055;Сын отеч., 1825, ч. CIV, с. 186—197.;186-197;1825;1825;
1056;Вест. всемирной истории, 1900, № 6, с. 87.;87;1900;1900;
1057;Лит. насл., 1952, т. 58, с. 37.;37;1952;1952;
1058;Рус. ст., 1903, № 2, с. 322—324.;322-324;1903;1903;
1059;Греч Н. И. Записки о моей жизни. Пб., А. С. Суворин, 1886, с. 474—475.;474-475;1886;1886;Пб., А. С. Суворин
1060;Лит. вест., 1901, № 8, с 310—313.;;1901;1901;
1061;Уч. зап. Моск. гор. пед. ин-та им. В. П. Потемкина, 1954, т. XLIII, вып. 4, с. 124.;124;1954;1954;
1062;Сочинения. М., Гослитиздат, 1956.;;1956;1956;М., Гослитиздат
1063;Дела и дни, 1921, № 2, с. 74—75.;74-75;1921;1921;
1064;Грибоедов А. С. Сочинения. М., Гослитиздат, 1956.;;1956;1956;М., Гослитиздат
1065;Дела и дни, 1921, № 2, с. 58—74.;58-74;1921;1921;
1066;Уч. зап. Тартусского ун-та, 1954, вып. 35, с. 223—230.;223-230;1954;1954;
1067;Звенья, т. I. М.—Л., «Academia», 1932, с. 7-39.;7-39;1932;1932;М.-Л., «Academia»
1068;Лит. насл., 1946, т. 47—48, с. 367—368;367-368;1946;1946;
1069;Лит. насл., 1935, т. 19—21, с. 150, 153, 154, 157, 159.;150, 153, 154, 157, 159;1935;1935;
1070;Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.;;2006;2006;СПб.: Нотабене
1071;Петерб. дневник театрала, 1905, № 15—16, с. 3.;3;1905;1905;
1072;Слово. Сборник 2-й. М., «Кн-во писателей в М.», 1914, с. 199—215.;199-215;1914;1914;М., «Кн-во писателей в М.»
1073;Ист. вест., 1914, № 2, с. 528.;528;1914;1914;
1074;Голос мин., 1917, № 2, с. 253—254.;253-254;1917;1917;
1075;Печать и рев., 1928, № 7, с. 61.;61;1928;1928;
1076;Панаев И. И. Первое полное собрание сочинений, т. VI. Пб., Н. Г. Мартынов, 1888, с. 417—419.;417-419;1888;1888;Пб., Н. Г. Мартынов
1077;Тургенев и круг «Современника». М.—Л., «Academia», 1930, с. 179.;179;1930;1930;М.-Л., «Academia»
1078;Рус. мысль, 1916, № 6, с. 75—88.;75-88;1916;1916;
1079;Кр. нива, 1928, № 37, с. 10—11.;10-11;1928;1928;
1080;Толстой Л. Н. Полное собрание сочинений, т. LXVI. М., Гослитиздат, 1953, с. 410.;410;1953;1953;М., Гослитиздат
1081;М. М. Стасюлевич и его современники в их переписке, т. III. Пб., 1912, с. 276—277.;276-277;1912;1912;Пб.
1082;"Барсуков Н. П. Жизнь и труды М. П. Погодина, т. XII. Пб., 1898, с. 241—244; т. XVIII. Пб., 1904, с. 433—434.";433-434;1898;1904;Пб.
1083;Архив села Карабахи. М., К. Ф. Некрасов, 1916, с. 97—100.;97-100;1916;1916;М., К. Ф. Некрасов
1084;Некрасовский сборник. Пг., «Общ. польза», 1918, с. 99—107.;99-107;1918;1918;Пг., «Общ. польза»
1085;Рус. мысль, 1902, № 12, с. 165—166.;165-166;1902;1902;
1086;Под знаменем науки. Юбилейный сборник в честь Н. И. Стороженко. М., 1902, с. 369—370.;369-370;1902;1902;М.
1087;Уч. зап. Казанского пед. ин-та, 1941, вып. 4, с. 184.;184;1941;1941;
1088;Искра, 1860, № 25, с. 275;275;1860;1860;
1089;Рус. архив, 1909, № 11, с. 248—250.;248-250;1909;1909;
1090;Из архива Достоевского. Письма русских писателей. М.—Пг., ГИЗ, 1923, с. 25—37.;25-37;1923;1923;М.-Пг., ГИЗ
1091;А. А. Григорьев. Материалы для биографии. Пг., Пушкинский дом, 1917, с. 101—302, 364—368.;101-302, 364-368;1917;1917;Пг., Пушкинский дом
1092;Неизданные письма к А. Н. Островскому. М.-Л., «Academia», 1932, с. 80—81.;80-81;1932;1932;М.-Л., «Academia»
1093;Голос мин., 1922, № 1, с. 129—131.;129-131;1922;1922;
1094;Лит. насл., 1935, т. 22—24, с. 268.;268;1935;1935;
1095;Лит. мысль, 1923, вып. 2, с. 145—148.;145-148;1923;1923;
1096;Уч. зап. Куйбышевского пед. и учит, ин-та, 1942, вып. 6, с. 196—197.;196-197;1942;1942;
1097;Лит. насл., 1952, т. 58, с. 548.;548;1952;1952;
1098;Соллогуб В. А. Сочинения, т. III. Пб, А. Ф. Смирдин, 1856, с. 75—77.;75-77;1856;1856;Пб, А. Ф. Смирдин
1099;Лит. насл., 1937, т. 31—32, с. 823—837.;823-837;1937;1937;
1100;т. III Сочинений. Пб., 1893.;;1893;1893;Пб.
1101;Рус. ст., 1888, № 10, с. 166—167.;166-167;1888;1888;
1102;Рус. ст., 1896, № 6, с. 561—562.;561-562;1896;1896;
1103;Сборник старинных бумаг, хранящихся в музее П. И. Щукина, ч. IX. М., П. И. Щукин, 1901, с. 198, 318—348.;198, 318-348;1901;1901;М., П. И. Щукин
1104;Огонек, 1954, № 16, с. 25.;25;1954;1954;
1105;А. А. Закревского. Пб., 1890, с. 508—563. (Сборник имп. Рус. ист. об-ва, т. LXXIII).;508-563;1890;1890;Пб.
1106;Лит. насл., 1935, т. 19—21, с. 301, 304, 312, 328—337.;301, 304, 312, 328-337;1935;1935;
1107;Рус. ст., 1891, № 8, с. 369—380.;369-380;1891;1891;
1108;т. III Сочинений. Пб, 1893.;;1893;1893;Пб
1109;"Рус. ст., 1888, № И, с. 331—332; № 12, с. 596—597.";596-597;1888;1888;
1110;Огонек, 1952, № 51, с. 24.;24;1952;1952;
1111;Щукинский сборник, вып. 9. М., 1910, с. 322—328.;322-328;1910;1910;М.
1112;Пушкин А. С. Полное собрание сочинений, тт. XIII, XV—XVI, М.—Л., АН СССР, 1937—1949.;;1937;1937;М.-Л., АН СССР
1113;Давыдов Д. Сочинения в стихах и прозе, ч. I. Пб., А. Смирдин, 1840, с. II.;;1840;1840;Пб., А. Смирдин
1114;Рус. ст., 1903, № 8, с. 446—448.;446-448;1903;1903;
1115;Новый мир, 1958, № 8, с. 278—280.;278-280;1958;1958;
1116;Барсуков Н. Жизнь и труды М. П. Погодина, т. IV. Пб., 1891, с. 277.;277;1891;1891;Пб.
1117;Ист. вест., 1890, № 7, с. 86—91.;86-91;1890;1890;
1118;т. III Сочинений Д. В. Давыдова. Пб., 1893.;;1893;1893;Пб.
1119;Письма поэта-партизана Д. В. Давыдова к князю П. А. Вяземскому. Пг., 1917, 54 с.;;1917;1917;Пг.
1120;Рус. ст., 1891, № 8, с. 381.;381;1891;1891;
1121;Сборник имп. Рус. ист. об-ва, 1890, т. LXXIII, с. 517—518.;517-518;1890;1890;
1122;Рус. ст., 1902, № 8, с. 366.;366;1902;1902;
1123;Акты, издаваемые Виленскою комиссиею для разбора древних актов, т. XXXVII. Вильна, 1912, с. 42, с прилож. рапорта Д. Давыдова от 22 дек. 1812.;42;1912;1912;Вильна
1124;Пушкин и его современники, вып. XI. Пб., 1909, с. 89.;89;1909;1909;Пб.
1125;Давыдов Д. Военные записки. М., ГИХЛ, 1940, с. 446.;446;1940;1940;М., ГИХЛ
1126;Сборник старинных бумаг, хранящихся в музее П. И. Щукина, ч. Х. М., П. И. Щукин, 1902, с. 433.;433;1902;1902;М., П. И. Щукин
1127;Вопр. ист., 1946, № 2—3, с. 44.;44;1946;1946;
1128;Заблоцкий-Десятовский А. П. Граф П. Д. Киселев и его время, т. I. Пб., 1882, с. 49, 50, 122.;49, 50, 122;1882;1882;Пб.
1129;Уч. зап. Саратовского ун-та, 1958, т. LXVI, вып. ист, с. 94, 96.;94, 96;1958;1958;
1130;Рус. ст., 1898, № 1, с. 190.;190;1898;1898;
1131;Рус. ст, 1889, № 4, с. 38—39.;38-39;1889;1889;
1132;Письма к А. В. Дружинину. М., 1948, с. 107—109. (Летописи Гослитмузея, № 9).;107-109;1948;1948;М.
1133;Отеч. зап., 1857, т. СХ, № 2, отд. II, с. 134—136.;134-136;1857;1857;
1134;Модестов Н. Н. В. И. Даль в Оренбурге. Оренбург, 1913, с. 50.;50;1913;1913;Оренбург
1135;Помощь голодающим. М., 1892, с. 530—531.;530-531;1892;1892;М.
1136;Каикава М. В. В. И. Даль как лексикограф. Тбилиси, «Цодна», 1959, с. 71—72.;71-72;1959;1959;Тбилиси, «Цодна»
1137;Литературные связи России и Казахстана. М., АН СССР, 1956, с. 131—132.;131-132;1956;1956;М., АН СССР
1138;Модестов Н. Н. В. И. Даль в Оренбурге. Оренбург, 1913, с. 42—43, 45— 46.;42-43, 45- 46;1913;1913;Оренбург
1139;Рус. ст., 1913, № 7, с. 87—90.;87-90;1913;1913;
1140;Из бумаг В. М. Лазаревского. М., 1894, с. 7—44.;7-44;1894;1894;М.
1141;Лит. насл., 1952, т. 58, с. 145.;145;1952;1952;
1142;Совр., 1838, т. XII, отд. II, с. 43—72.;43-72;1838;1838;
1143;Грот Я. К.: Воспоминания о В. И. Дале и П. П. Пекарском. Пб., 1873, с. 46—54.;46-54;1873;1873;Пб.
1144;Данилевский М. Г. Г. П. Данилевский, по личным его письмам и литературной переписке. Харьков, 1893, с. 27—29.;27-29;1893;1893;Харьков
1145;Рус. ст., 1889, № З, с. 583—584.;583-584;1889;1889;
1146;Сборник Учено-литературного об-ва при имп. Юрьевском ун-те, т. V, Юрьев, 1902, с. 167, 169.;167, 169;1902;1902;Юрьев
1147;Литературные связи России и Казахстана. 30—50-е гг. XIX в. М., АН СССР, 1956, с. 122.;122;1956;1956;М., АН СССР
1148;Голос мин., 1923, № 3, с. 117—121.;117-121;1923;1923;
1149;Изв. кн. маг. М. О. Вольф, 1914, № 2, отд. I, с. 47—48.;47-48;1914;1914;
1150;"Сев. пчела, 1834, № 124, 4 июня, с. 495—496; 1835, № 97, 3 мая, с. 387—388.";387-388;1834;1835;
1151;Уч. зап. Саратовского ун-та, 1957, т. LVI, с. 182.;182;1957;1957;
1152;Рус. архив, 1894, № 8, с. 557.;557;1898;1898;
1153;"Изв. кн. маг. т-ва М. О. Вольф, 1914, № 1, отд. I, с. 10; № 2, отд. I, с. 47—48.";47-48;1914;1914;
1154;Журн. Мин-ва нар. просв., 1871, № 10, с. 230—231.;230-231;1871;1871;
1155;Рус. филолог. вест. 1907, № 4, с. 354—361.;354-361;1907;1907;
1156;Барсуков Н. Жизнь и труды М. П. Погодина, тт. IV—XXII. Пб., 1888—1910, см. по указателю имен в т. XXII.;;1888;1910;Пб.
1157;Лит. насл., 1952, т. 58, с. 617.;617;1952;1952;
1158;Канкава М. В. В. И. Даль как лексикограф. Тбилиси, «Цодна», 1958, с. 62, 134, 248, 249, 252.;62, 134, 248, 249, 252;1958;1958;Тбилиси, «Цодна»
1159;Лит. насл., 1949, т. 51—52, с. 232.;232;1949;1949;
1160;Др. и новая Россия, 1876, № 1, с. 98.;98;1876;1876;
1161;"Сев. пчела, 1833, № 230, 11 окт, с. 920; № 231, 12 окт, с. 923-924; 1834, № 6, с. 23—24.";23-24;1833;1834;
1162;Модестов Н. Н. В. И. Даль в Оренбурге. Оренбург, 1913, с. 70—71.;70-71;1913;1913;Оренбург
1163;Евстратов Н. В. И. Даль и Западный Казахстан. Уральск, 1957, с. 259—260. (Уч. заи. Уральского пед. ин-та, 1957, т. IV, вып. 12).;259-260;1957;1957;Уральск
1164;Лит. насл., 1952, т. 58, с. 150—151.;150-151;1952;1952;
1165;Ф.: Литературные связи России и Казахстана. М., АН СССР, 1956, с. 119, 128.;119, 128;1956;1956;М., АН СССР
1166;Даль В. Толковый словарь живого-великорусского языка, т. I. М., 1955, с. III.;;1955;1955;М.
1167;Голос, 1867, № 357, 28 дек., с. 3.;3;1867;1867;
1168;Рус. архив, 1878, № 5, с. 65—66.;65-66;1878;1878;
1169;Рус. ст., 1899, № 9, с. 558.;558;1899;1899;
1170;Модестов Н. Н. В. И. Даль в Оренбурге. Оренбург, 1913, с. 41—42.;41-42;1913;1913;Оренбург
1171;Модестов Н. Н. В. И. Даль в Оренбурге. Оренбург, 1913, с. 44—45.;44-45;1913;1913;Оренбург
1172;Воспоминания о В. И. Дале и П. П. Пекарском. Пб., 1873, с. 43—45.;43-45;1873;1873;Пб.
1173;Переписка К. Маркса и Ф. Энгельса с русскими политическими деятелями. Изд. 2-е. М., Госполитиздат, 1951, с. 37, 58, 65, 72, 78, 79, 82, 83, 88, 89, 91, 94, 96, 141, 188, 299.;37, 58, 65, 72, 78, 79, 82, 83, 88, 89, 91, 94, 96, 141, 188, 299;1951;1951;М., Госполитиздат
1174;Данилевский Г. П. Сочинения, т. I. Пб., 1893, с. XXXV.;;1893;1893;Пб.
1175;Рус. ст, 1904, № 9, с. 670—675.;670-675;1904;1904;
1176;Голос мин., 1916, № 12, с. 108.;108;1916;1916;
1177;Данилевский Г. П. Сочинения, т. I, изд. 7-е, Пб, 1893, с. XXIXXVII,XXXVIII—XLIII, XLV, XLVII-LI, LIII, LV—LVII.;;1893;1893;Пб
1178;Горбунов И. Ф. Сочинения,т. III, ч. I—IV. Пб., 1907, с. 80.;80;1907;1907;Пб.
1179;Изв. Таврической уч. архивной комиссии, № 53. Симферополь, 1916, с. 194—196.;194-196;1916;1916;Симферополь
1180;Данилевский М. Г. Г. П. Данилевский, по личным его письмам и литературной переписке. Харьков, 1893, с. 84—86.;84-86;1893;1893;Харьков
1181;К. П. Победоносцев и его корреспонденты, т. I, ч. 1. М.-Пг., ГИЗ, 1923, с. 350—352;350-352;1923;1923;М.-Пг., ГИЗ
1182;Шевченко та його доба. Збiрник перший. ДВУ, 1925, с. 150—151.;150-151;1925;1925;ДВУ
1183;Апостолов Н. Н. Лев Толстой и его спутники. М., 1928, с. 217—218.;217-218;1928;1928;М.
1184;М. М. Стасюлевич и его современники в их переписке, т. V. Пб., 1913, с. 306—324.;306-324;1913;1913;Пб.
1185;Оксман Ю. Г. И. С. Тургенев, вып. 1. Одесса, Всеукр. гос. изд-во, 1921, с. 111—112.;111-112;1921;1921;Одесса, Всеукр. гос. изд-во
1186;"Барсуков Н. Жизнь и труды М. П. Погодина, т. XI. Пб., 1897, с. 75 , 76, 408, 409, 414, 433; т. XII. Пб., 1898, с. 195, 210, 219, 221, 235; т. XIV. Пб., 1910, с. 359.";359;1897;1910;Пб.
1187;Л. Н. Толстой, т. II. М, 1948, с. 161. (Летописи Гослитмузея, № 12).;161;1948;1948;М
1188;Голос мин., 1919, № 1—4, с. 81—84.;81-84;1919;1919;
1189;Петерб. вед, 1873, № 210, 2 авг, с. 2.;2;1873;1873;
1190;Новое вр., 1881, № 1757, 18 янв., с. 3.;3;1881;1881;
1191;Д.: Сочинения, т. X, изд. 9-е. Пб., А. Ф. Маркс, 1902, с. 128—132.;128-132;1902;1902;Пб., А. Ф. Маркс
1192;Данилевский М. Г. Г. П. Данилезский, по личным его письмам и литературной переписке. Харьков, 1893, с. 55—56, 60, 61, 76.;55-56, 60, 61, 76;1893;1893;Харьков
1193;Рус. архив, 1891, № 7, с. 357—364.;357-364;1891;1891;
1194;Зап. Отдела рукописей Б-ки СССР им. В. И. Ленина, 1941, № 8, с. 39—40.;39-40;1941;1941;
1195;Архив А. П. Чехова, вып. 1. М., Соцэкгиз, 1939, с. 93.;93;1939;1939;М., Соцэкгиз
1196;Архив А. П. Чехова. Аннотированное описание писем к А. П. Чехову. Вып. 1. М., Соцэкгиз, 1939, с. 92—93. (Всесоюз. б-ка им В. И. Ленина).;92-93;1939;1939;М., Соцэкгиз
1197;Чехов А. П. Полное собрание сочинений и писем, т. XVI. М., Гослитиздат, 1949, с. 467.;467;1949;1949;М., Гослитиздат
1198;Новое вр., 1895, № 6931, 17 июня, с. 3.;3;1895;1895;
1199;Сборник Пушкинского дома на 1923 г. Прим. М. Л. Гофмана. Пг., ГИЗ, 1922, с. 94—96.;94-96;1923;1923;Пг., ГИЗ
1200;Верховский Ю. Барон Дельвиг. Пб., А. С. Каган, 1922, с. 29—42.;29-42;1922;1922;Пб., А. С. Каган
1201;Благонамеренный, Брюссель, 1926, № 3-4 , с. 198—199.;198-199;1926;1926;Брюссель
1202;Дельвиг А. А. Сочинения. Пб., Е. Евдокимов, 1893, с. 149—171.;149-171;1893;1893;Пб., Е. Евдокимов
1203;Пушкин А. С. Полное собрание сочинений, тт. XIII, XIV. М.—Л, АН СССР, 1937—1941.;;1937;1941;М.-Л, АН СССР
1204;Дела III Отделения собств. е. к. в. канцелярии об А. С. Пушкине. Пб., И. Балашов, 1906, с. 42.;42;1906;1906;Пб., И. Балашов
1205;т. II. Пб., 1912, с. 264.;264;1912;1912;Пб.
1206;Модзалевский Б. Л. Пушкин. Л., «Прибой», 1929, с. 228.;228;1929;1929;Л., «Прибой»
1207;Голос мин., 1917, № 1, с. 267—268.;267-268;1917;1917;
1208;Росс. музеум, 1815, № 10—11, с. 209—212.;209-212;1815;1815;
1209;Рус. ст., 1875, № 7, с. 360, 377, 378.;360, 377, 378;1875;1875;
1210;Модзалевский Б. Л. Пушкин. Л., «Прибой», 1929, с. 191, 192, 199.;191, 192, 199;1929;1929;Л., «Прибой»
1211;Сочинения. С портретом автора, его письмами и биографическими о нем сведениями. Изд. 4-е. Казань, 1884, с. 500—501.;500-501;1884;1884;Казань
1212;Сочинения. С портретом автора, его письмами и биографическими о нем сведениями. Изд. 4-е. Казань, 1884, с. 503—504.;503-504;1884;1884;Казань
1213;Сочинения. С портретом автора, его письмами и биографическими о нем сведениями. Изд. 4-е. Казань, 1884, с. 498—500.;498-500;1884;1884;Казань
1214;Сочинения. С портретом автора, снимком его почерка, его письмами и биографическими о нем сведениями. М., 1869, с. 415.;415;1869;1869;М.
