number_of_letter;addressee;gender;date;place;appeal;first_line;signature;volume;pages;poetry;autograph;copy;first published;printed according to
263;П. А. Вяземский;м;11 января 1816;Петербург;;Посылаю тебе список твоих стихов, находившихся у Тургенева;;15;464;;РГАЛИ. Ф. 195. Оп. 1. No 1909. Л. 60—60 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
264;Н. И. Гнедич;м;11 января 1816;Петербург;;Возвращаю билет с надписью, а за табак благодарю любезного Гекзаметра;Жуковский;15;465;;РО ИРЛИ. No 103—108 (1 единица). Л. 7. Б. д.;РО ИРЛИ. No 103—108 (1 единица). Л. 8.;СС 1. Т. 4. С. 569.;автограф
265;А. А. Прокопович-Антонский;м;начало января (до 12-го) 1816;Петербург;почтеннейший Антон Антонович;Не думайте, почтеннейший Антон Антонович, чтобы я на Вас жаловался;;15;465;;неизвестен;;РА. 1902. No 5. С. 139. Б. г.;текст первой публикации
266;П. А. Вяземский;м;12 января 1816;Петербург;ваше сиятельство;Ты ворчишь, ваше сиятельство, и ворчишь понапрасну;Ж.;15;466;;РГАЛИ. Ф. 195. Оп. 1. No 1909. Л. 55—55 об. Б. г.;;РЛ. 1975. No 1. С. 122—124. Публикация В. В. Пухова;автограф
267;"Е. А., М. А. Протасовы; А. Ф., А. А. Воейковы";"ж; ж; м; м";начало февраля 1816;Петербург;милые, бесценные друзья;Теперь спешу уведомить вас, милые, бесценные друзья, о том только, что я доехал;;15;467;;неизвестен;неизвестен;РС. 1883. No 8. С. С. 228—229;текст первой публикации
268;И. И. Дмитриев;м;18 февраля 1816;Петербург;Милостивый государь Иван Иванович;Милостивый государь Иван Иванович. Я имел удовольствие получить Ваше приятное письмо и Вашу книгу;Вашего превосходительства покорнейший слуга Жуковский;15;468;;неизвестен;неизвестен;РА. 1866. No 11—12. Стб. 1629—1631, с пометой: «18 февраля 1816 (СПб.)»;текст первой публикации
269;"А. П. Юшкова (Зонтаг); Е. П. Азбукина";"ж; ж";февраль (до 19-го) 1816;Петербург;;От вас нет писем — не грех ли? Вы должны знать, что у меня по вас в сердце кошки — и молчите;;15;470;;неизвестен;неизвестен;РС. 1883. No 8. С. 235—236, с пометой: «СПб., 1816, в феврале (после 19) или в марте)»;текст первой публикации
270;А. П. Киреевская (Елагина);ж;около 19 февраля 1816;Петербург;Милая сестра, друг, бес, ангел;"Милая сестра, друг, бес, ангел; что Вы с нами делаете";;15;471;;неизвестен;"РО ИРЛИ. Ф. 265. Оп. 2. No 1040. Л. 15—15 об. (отрывок); О копиях (наборная рукопись РС) см. вступительное примечание к письму Жуковского к Елагиной от июля 1813 г.; в копиях делались вычерки малоинтересных фрагментов, не вошедших в публикацию";"ЖМНП. 1869. Ч. 143. Май. С. 72—75, с указанием даты: «19 февраля 1816 г.»; РС. 1883. No 8. С. 229—235, с пометой: «19 февраля 1816 (СПб.)». Полностью: Переписка Ж. и Елагиной. С. 162—167";Печатается по тексту публикации РС, пропущенный в ней отрывок («Милая Катя ~ братское лобзание») по копии
271;К. Н. Батюшков;м;начало апреля 1816;Дерпт;;"Посылаю тебе назад Тибулла; это на память обо мне";;15;476;;РО ИРЛИ. Ф. 19. No 18. Л. 1 об.;;Ежегодник РО ПД на 1980 г. Л., 1984. С. 85. Публикация и комментарий Р. В. Иезуитовой;автограф
272;А. П. Киреевская (Елагина);ж;12 апреля 1816;Дерпт;;Я давно не писал к вам, друзья. Это служит вам доказательством;;15;476;;неизвестен;неизвестен;ЖМНП. 1869. Ч. 143. Май. С. 75, с указанием на апрель 1816 г. Полностью: РС. 1883. No 9. С. 533—535, с пометой: «Дерпт. 12-го апреля (1816)»;текст первой публикации
273;А. И. Тургенев;м;12 апреля 1816;Дерпт;;Податель этого письма есть доктор Лебрен, учившийся в здешнем университете;Ж.;15;478;;РНБ. Оп. 2. No 150. Л. 15. Б. г.;;ПЖТ. С. 153—154;автограф
274;Г. Р. Державин;м;17 апреля 1816;Дерпт;М<илостивый> г<осударь> Г<аврила> Р<оманович>;М<илостивый> г<осударь> Г<аврила> Р<оманович>. Спешу исполнить обещание, данное мною В<аше>му в<ысоко>пр<евосходительст>;Вашего превосходительства покорнейший слуга Жуковский;15;479;;неизвестен;неизвестен;Державин. Т. 6. С. 335, с пометой: «Дерпт, 17 апреля 1816»;текст первой публикации
275;П. А. Вяземский;м;26 апреля 1816;Дерпт;;Что сделалось с тобою? Ты не пишешь ко мне и не отвечаешь на письмо мое;Твой Жуковский;15;479;;РГАЛИ. Ф. 195. Оп. 1. No 1909. Л. 83. Б. г.;;СС 1. Т. 4. С. 570—571;автограф
276;Ф. Гизе;м;1 мая 1816;Дерпт;"Ваше высокоблагородие г<осподи>н декан философского факультета и господа члены; Глубокоуважаемые господа";Глубокоуважаемые господа! С благодарностью и радостью принимаю я присланный мне почетный диплом доктора философии;Ваш покорнейший Жуковский;15;480;;неизвестен;;Эстония. Т. 6. Таллин, 1956. С. 246, с пометой: «1 мая»;текст первой публикации
277;А. П. Киреевская (Елагина);ж;конец мая (до 23-го) 1816;Дерпт;милая сестра;"На мои два письма нет от Вас ответа, милая сестра; одно адресовано было на Ваше имя, другое на имя Анеты";;15;480;;неизвестен;"РО ИРЛИ. Ф. 265. Оп. 2. No 1040. Л. 13—14 об. (до слов «Бумаги его я оставил»), с пометой: «Дерпт, 1816. Янв. [или февр.]». О копиях (наборная рукопись РС) см. вступительное примечание к письму к А. П. Елагиной от июля 1813 г.; в копиях делались вычерки малоинтересных фрагментов, не вошедших в публикацию";РС. 1883. No 8. С. 226—228, с неверной датировкой: «Дерпт, 1816 г. янв.». Полностью: Переписка Ж. и Елагиной. С. 156—157;копия
278;"С. П. Жихарев; А. И. Тургенев";"м; м";около 23—24 мая 1816;Дерпт;Милый друг Жихарев;Милый друг Жихарев, обнимаю тебя за твои дружеские хлопоты;Твой Жуковский;15;482;;РНБ. Оп. 2. No 151. Л. 1—2. Б. д.;;ПЖТ. С. 154—155;автограф
279;Н. М. Лонгинов;м;24 мая 1816;Дерпт;;Прошу Вас покорнейше быть изъявителем моей всеподданнической благодарности перед лицом Его Императорского Величества1 за милостивое обо мне воспоминовение;Ж.;15;483;;неизвестен;РГАЛИ. Ф. 195. Оп. 1. No 5777. Л. 1;ПСС Жуковский в 20 т., т. 15;автограф
280;А. И. Тургенев;м;начало июня 1816;;;Посылаю тебе экземпляр Берговых «Писем»;Ж.;15;484;;РНБ. Оп. 2. No 152. Л. 1—1 об. Б. д.;;ПЖТ. С. 155—156;автограф
281;А. И. Тургенев;м;середина июня 1816;Дерпт;;Ты прислал ко мне два письма из Петербурга — я получил их;;15;485;;РНБ. Оп. 2. No 152. Л. 3—3 об. Б. д.;;ПЖТ. С. 156—157;автограф
282;А. И. Тургенев;м;конец июня 1816;Дерпт;;Ты пишешь ко мне очень коротко и спешишь без памяти дописать;;15;486;;РНБ. Оп. 2. No 152. Л. 4. Б. д.;;ПЖТ. С. 157;автограф
283;П. А. Вяземский;м;29 июня 1816;Дерпт;Милый друг;Милый друг, твое несравненное письмо от 24 апреля получил я в половине июня;Жуковский;15;486;;РГАЛИ. Ф. 195. Оп. 1. No 1909. Л. 86. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
284;Г. Р. Державин;м;29 июня 1816;Дерпт;М<илостивый> г<осударь> Г<аврила> Р<оманович>;М<илостивый> г<осударь> Г<аврила> Р<оманович>. Я имел честь получить письмо В<ашего>го в<ысоко>пр<евосходительства> и приложенный при нем экземпляр Ваших сочинений;Вашего превосходительства покорнейший слуга Василий Жуковский;15;487;;неизвестен;неизвестен;Державин. Т. 6. С. 341, с пометой: «Дерпт, 29 июня 1816»;текст первой публикации
285;А. П. Киреевская (Елагина);ж;4 июля 1816;Дерпт;милая сестра;Я сейчас возвратился из путешествия в некоторые Лифляндские стороны и получил Ваши письма, милая сестра;;15;488;;неизвестен;РО ИРЛИ. Ф. 265. Оп. 2. No 1040. Л. 16—17 об., с пометой: «(Дерпт. 1816. Летом)». О копиях (наборная рукопись РС) см. вступительное примечание к письму к А. П. Елагиной от июля 1813 г.;РС. 1883. No 9. С. 535—536, с той же пометой. Полностью: Переписка Ж. и Елагиной. С. 176—177;копия
286;А. И. Тургенев;м;4 июля 1816;Дерпт;Милый друг;Милый друг, два слова, ибо писать более некогда;;15;489;;РНБ. Оп. 2. No 152. Л. 6. Б. д.;;ПЖТ. С. 157—158;автограф
287;А. А. Воейкова;ж;5 июля 1816;Ревель;милая моя Саша;Вот мы в Ревеле, милая моя Саша. Как мы все разъехались;;15;490;;РО ИРЛИ. Р. I. Оп. 9. No 112. Л. 4. Б. г.;;Соловьев. Т. 1. С. 59—60;автограф
288;А. И. Тургенев;м;17 августа 1816;Дерпт;;Я опять в Дерпте и спешу тебе отвечать. Я получил твое письмо в Ревеле;Твой верный Жуковский;15;491;;РНБ. Оп. 2. No 152. Л. 7. Б. г.;;ПЖТ. С. 159;автограф
289;А. И. Тургенев;м;24 августа 1816;Дерпт;Милый друг;Милый друг, я к тебе с просьбою. Брат Воейкова живет в Петербурге ;Твой Жуковский;15;492;;РНБ. Оп. 2. No 152. Л. 8. Б. г.;;ПЖТ. С. 160;автограф
290;А. И. Тургенев;м;первая половина сентября (до 16-го) 1816;Дерпт;Милый друг;Милый друг, ты не отвечаешь мне на мои письма. Я просил тебя уведомить меня о ходе дела Воейкова;Твой Жуковский;15;492;;РНБ. Оп. 2. No 152. Л. 9. Б. д.;;ПЖТ. С. 161—162;автограф
291;А. П. Киреевская (Елагина);ж;15 сентября 1816;Дерпт;"друзья; Милая Авдотья";Что Вы примолкли? Уж не сердиты ли на меня, друзья! Милая Авдотья, я сделал большую глупость, написавши к Вам о том, что случилось с письмом Вашим;Ж;15;493;;неизвестен;неизвестен;РС. 1883. No 9. С. 536—537, с пометой: «1816 г. 15-го сентября. Дерпт (?)»;текст первой публикации
292;А. И. Тургенев;м;первая половина сентября 1816;Дерпт;;"Посылаю тебе требуемое тобою письмо; не знаю, годится ли";;15;494;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 322. Б. д.;;"РА. 1867. Кн. 5—6. Стб. 799—800; перепечатано: ПЖТ. С. 161—162.";автограф
293;Александр I;м;Первая половина сентября 1816;Дерпт;"Всемилостивейший Государь; Ваше императорское величество";Осмеливаюсь повергнуть к священным стопам В<ашего> И<мператорского> В<еличества> слабые труды свои;Вашего Импер<аторского> Вел<ичества> верноподанный Василий Жуковский;15;495;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 303 — черновой, с правкой А. И. Тургенева. Б. д.;;"РА. 1867. Кн. 5—6. Стб. 800—801; перепечатано: ПЖТ. С. 162—163";автограф
294;П. А. Вяземский;м;сентябрь 1816;Дерпт;;Я получил твою диссертацию о том литературном урыльнике;;15;495;;РГАЛИ. Ф. 195. Оп. 1. No 1909. Л. 74—74 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
295;А. И. Тургенев;м;2 октября 1816;Дерпт;;Благодарю за «Ундину», милый друг, и опять повторяю мою просьбу о деле Воейкова;;15;497;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 333;;РС. 1901. Т. 106. Апрель—июнь.С. 131—132;автограф
296;А. И. Тургенев;м;21 октября 1816;Дерпт;;Если хочешь, чтоб я кончил «Певца», то пришли его мне;;15;498;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 311—311 об. Б. г.;;"РА. 1867. Кн. 5—6. Стб. 801—806; перепечатано: ПЖТ. С. 163—165";автограф
297;П. А. Вяземский;м;23 октября 1816;Дерпт;;Две тысячи получил и благодарю тебя — весьма, весьма вовремя собрался ты законопатить мой износившийся карман;Твой Жуковский;15;500;;РГАЛИ. Ф. 195. Оп. 1. No 1909а. Л. 29—29 об. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
298;А. П. Киреевская (Елагина);ж;23 октября 1816;Дерпт;Милая сестра;Милая сестра, Вы сердитесь на меня понапрасну;твой, и их всем сердцем Жуковский;15;501;;неизвестен;РО ИРЛИ. Ф. 265. Оп. 2. No 1040. Л. 18—19 об. О копиях (наборная рукопись РС) см. письмо к А. П. Елагиной от июля 1813 г.;РС. 1883. No 9. С. 537—539, с пометой: «(Дерпт. Октября 23-го, 1816 г.)». Полностью: Переписка Ж. и Елагиной. С. 190—191;копия
299;А. И. Тургенев;м;31 октября 1816;Дерпт;;И я не погибну с вами! Брат, что за слово? С нами!;Жуковский;15;502;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 305—306. Б. г.;;"РА. 1867. Кн. 5—6. Стб. 806—810 с пометой: «31 октября (1816)»; перепечатано: ПЖТ. С. 165—167";автограф
300;С. П. Жихарев;м;31 октября 1816;Дерпт;Любезнейший друг,;Любезнейший друг, не стыдно ли тебе не отвечать мне на письмо мое? ;Твой навсегда Жуковский;15;505;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 328. Б. г.;;"РА. 1867. Кн. 5—6. Стб. 810—811; перепечатано: ПЖТ. С. 167—168.";автограф
301;А. И. Тургенев;м;6 ноября 1816;Дерпт;милый друг;Посылаю тебе «Певца», милый друг, и благодарю за то, что ты принудил меня его кончить;Твой Жуковский ;15;505;;РНБ. Оп. 2. No 152. Л. 11—11 об. Б. г.;;ПЖТ. С. 168—169;автограф
302;А. П. Киреевская (Елагина);ж;7 ноября 1816;Дерпт;милостивая государыня Авдотья Петровна Киреевская;Что ж это значит, милостивая государыня Авдотья Петровна Киреевская;;15;506;;неизвестен;РО ИРЛИ. Ф. 265. Оп. 2. No 1040. Л. 20—25 об., с пометой: «7 ноября. (Дерпт, 1816)». О копиях (наборная рукопись РС) см. письмо к А. П. Елагиной от июля 1813 г.;"ЖМНП. 1869. Ч. 143. Май. С. 76, 78; РС. 1883. No 9. С. 539—544, с той же пометой. Полностью: Переписка Ж. и Елагиной. С. 192—196";копия
303;А. И. Тургенев;м;первая половина (после 6-го) ноября 1816;Дерпт;;Спешу тебе отвечать два слова. Вдохновенный светильник не нравится моему почтенному учителю;Твой Жуковский;15;510;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 324. Б. д.;;РС. 1901. Т. 106. Апрель—июнь. С. 133—134, с пометой: «В конце (после 6-го ноября) 1816 г. Дерпт»;автограф
304;А. П. Юшкова (Зонтаг);ж;конец ноября (около или после 21-го) 1816;Дерпт;Милая Анета;Милая Анета, я хорошо сделал, что помедлил отвечать на Ваше прелестное письмо;;15;511;;неизвестен;1) ОР РНБ. Оп. 2. No 444. Л. 2—3 об. — рукою А. П. Елагиной. Б. д., с пометой: «(1816)». 2) РО ИРЛИ. Архив Грота. No 16000. Л. 1об. — 2 — рукою А. П. Зонтаг. Б. д.;"Грот. С. 3—4; УС. С. 88—89";Печатается: по тексту первой публикации со сверкой по копиям
305;А. И. Тургенев;м;конец ноября 1816;Дерпт;;Ты не пишешь ко мне, и я не пишу к тебе;;15;512;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 324. Б. д.;;РС. 1901. Т. 106. Апрель—июнь. С. 134, с пометой: «В конце 1816 г. (после 6-го ноября). Дерпт»;автограф
306;А. И. Тургенев;м;первая половина декабря (до 12-го) 1816;Дерпт;Любезный Александр Иванович;Любезный Александр Иванович! Вы хвастаете своим Арзамасом!;;15;513;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 313. Б. д.;;РА. 1867. Кн. 5—6. Стб. 811—812. Перепечатано: ПЖТ. С. 169 с пометой: «В начале 1817. Дерпт»;автограф
307;М. Н. Свечина;ж;12 декабря 1816;Дерпт;;Я сейчас еду в Петербург, где пробуду не более трех недель;Ваш Жуковский;15;513;;РО ИРЛИ. Ф. 18. No 34. Л. 1. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
308;М. Я. фон Фок;м;1815—1816;Дерпт;Милостивый Государь мой Максим Яковлевич!;Покорно прошу Вас взять на себя труд и позаботиться о скором доставлении паспорта Рамбаху;Ваш покорный слуга;15;514;;РНБ. Оп. 2. No 168. 1 л. Б. д. Б. м.;;ПСС Жуковский в 20 т., т. 15;автограф
309;Н. И. Гнедич;м;конец декабря 1816 — начало января (до 12-го) 1817;Петербург;;Нельзя ли нам вместе побывать завтра у Алексея Николаевича ввечеру;Твой Жуковский;15;515;;РНБ. Оп. 2. No 95. Л. 24. Б. д.;;ЖИМ. Вып. 2. С. 384. Публикация В. С. Киселёва;автограф
310;А. П. Киреевская (Елагина);ж;2 января 1817;Петербург;Милая сестра;Милая сестра, Вы говорите мне Аминь на все мои мысли;Ж.;15;515;;неизвестен;РО ИРЛИ. Ф. 265. Оп. 2. No 1040. Л. 26—26 об., с пометой: «2 генваря. (1817, СПб.)». О копиях (наборная рукопись РС) см. вступительное примечание к письму к А. П. Елагиной от июля 1813 г.;РС. 1883. No 9. С. 543—544, с той же пометой;копия
311;А. И. Тургенев;м;середина января 1817;Дерпт;;Податель этого письма есть Фелициан Фелицианович Заремба;;15;516;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 335—335 об. Б. д.;;РА. 1867. Кн. 5—6. Стб. 813—815. Перепечатано: ПЖТ. С. 169—171;автограф
312;Д. В. Дашков;м;середина (до 19-го) января 1817;Дерпт;Чурка;Здравствуй, Чурка! Если ты дуешься на меня за мое неотвечание на два письма твои, то перестань;;15;517;;неизвестен;;РА. 1868. С. 837—843;текст первой публикации
313;Д. Н. Блудов;м;середина января 1817;Дерпт;Мой милый Блудов;Мой милый Блудов! Вызываю тебя на доброе дело: это значит, что я надеюсь, что ты отложишь всякую лень;Ж.;15;520;;РГАЛИ. Ф. 72. Оп. 1. No 5. Л. 6—6 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
314;А. И. Тургенев;м;середина января 1817;Дерпт;милый друг;Здравствуй, милый друг! Обнимаю тебя от всего сердца;Твой Жуковский;15;522;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 320—320 об. Б. д.;;РА. 1867. Кн. 5—6. Стб. 815—817. Перепечатано: ПЖТ. С. 171—172.;автограф
315;М. Н. Свечина;ж;26 января 1817;Дерпт;Милая Марья Николаевна;Милая Марья Николаевна, я не забыл Вашей комиссии;Жуковский;15;523;;РО ИРЛИ. Ф. 18 (Бартенев). No 34. Л. 3—3 об. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
316;П. А. Вяземский;м;27 января 1817;Дерпт;душа моя душенька;Не гневайся на меня, душа моя душенька! Я прав: теперь о журнале думать нам нечего: начнем и не кончим;Ж.;15;523;;РГАЛИ. Ф. 195. Оп. 1. No 1909. Л. 78—79 об. Б. г.;;Гиллельсон. С. 371 (фрагмент). Полностью: ПСС Жуковский в 20 т., т. 15;автограф
317;И. И. Мартынов;м;27 января 1817;Дерпт;Милостивый государь Иван Иванович;Я не имел способу с Вами увидеться при отъезде моем из Петербурга;Вашего превосходительства покорнейший слуга В. Жуковский;15;526;;РО ИРЛИ. Ф. 93 (собр. П. Я. Дашкова). Оп. 3. No 522. Л. 1;;РЛ. 2009. No 3. С. 93. Публикация А. С. Янушкевича;автограф
318;А. П. Зонтаг;м;4 февраля 1817;Дерпт;Милая Анета;Милая Анета, что же это за Корсар;;15;526;;неизвестен;1) ОР РНБ. Оп. 2. No 444. Л. 4—8 об. — рукою А. П. Елагиной. с датой «4 февраля». Б. г. 2) РО ИРЛИ. Архив Грота. No 16000. Л. 2—3 — рукою А. П. Зонтаг. С датой: «4 февраля 1817 года. Дерпт».;"Плетнев П. А. О жизни и сочинениях В. А. Жуковского // Живописный Сборник, 1853. Т. III. С. 367 (отд. оттиск: СПб., 1853. С. 43—45), фрагмент «Пансион, который дал мне государь ~ Я не должен обмануть надежды царской». Полностью: Грот. С. 5—7; УС. С. 89—92.";Печатается по тексту копии No 1 со сверкой по копии No 2 и публикациям
319;И. Ф. Николев;м;18 февраля 1817;Дерпт;Милостивый государь Иван Федорович;Мой короткий приятель Дмитрий Александрович Кавелин вручит Вам это письмо;Ваш покорнейший слуга Василий Жуковский;15;530;;РО ИРЛИ. Ф. 18. No 26. Л. 1—2;;РА. 1902. No 5. С. 133—134, с датой: «1817. Февраля 18. Дерпт»;автограф
320;Д. Н. Блудов;м;18 февраля 1817;Дерпт;Блудник;Я на тебя сердит, Блудник! Право сердит;Светлана;15;531;;РГАЛИ. Ф. 72. Оп. 1. No 5. Л. 5. Б. г.;;РЛ. 2009. No 3. С. 92—93. Публикация А. С. Янушкевича;автограф
321;И. И. Мартынов;м;18 февраля 1817;Дерпт;Милостивый государь Иван Иванович;Благодарю Вас за дружеское ваше письмецо и за доброе Ваше обещание не позабыть о моем Асмусе;Вашего превосходительства покорнейший слуга В. Жуковский;15;531;;РО ИРЛИ. Ф. 93. Оп. 3. No 522. Л. 2;;РЛ. 2009. No 3. С. 94. Публикация А. С. Янушкевича;автограф
322;А. И. Тургенев;м;около 18 февраля 1817;Дерпт;Александр Иванович;"Бога ты не боишься, Александр Иванович; выходив мне пенсии 4 000 рублей";;15;532;;РНБ. Оп. 2. No 152. Л. 12—12 об. Б. д.;;ПЖТ. С. 172—173;автограф
323;А. А. Прокопович-Антонский;м;24 февраля 1817;Дерпт;;Мне не нужно к Вам писать о том важном добре, которое сделал мне государь;;15;533;;неизвестен;;РА. 1902. No 5. С. 140—141, с датой: «1817. Февраля 24. Дерпт»;текст первой публикации
324;А. И. Тургенев;м;24 февраля 1817;Дерпт;ленивец;"Наконец решился ты написать, ленивец; и то писал на полете";;15;534;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 326. Б. г.;;РА. 1867. Кн. 5—6. Стб. 817—818, с пометой: «24 февраля (1817)». Перепечатано: ПЖТ. С. 173—174.;автограф
325;А. И. Тургенев;м;конец февраля — начало марта 1817;Дерпт;;Прошу тебя немедленно передать приложенное письмо Николеву;Василий ;15;535;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 317. Б. д.;;РС. 1901. Стб. 135. с пометой: «Конец февраля или начало марта 1817 г., Дерпт»;автограф
326;А. И. Тургенев;м;конец февраля — начало марта 1817;Дерпт;Любезный друг;Любезный друг! Когда-то сподобился ты поспешить, и то некстат;;15;535;;РНБ. Оп. 2. No 152. Л. 14. Б. д.;;ПЖТ. С. 174—175, с пометой: «В конце февраля или в марте 1817, Дерпт»;автограф
327;И. И. Дмитриев;м;1 марта 1817;Дерпт;"Милостивый государь Иван Иванович; Ваше превосходительство";Милостивый государь Иван Иванович! Я имел честь получить письмо Вашего превосходительства;Вашего превосходительства покорнейший слуга Василий Жуковский;15;536;;неизвестен;неизвестен;РА. 1866. No 7—12. Стб. 1631—1632, с датой: «1817. Марта 1. Дерпт»;
328;А. И. Тургенев;м;конец марта (до 25-го) 1817;Дерпт;;Посылаю тебе чудака, поэта, бродягу, ребенка, старика;Твой Жуковский;15;537;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 309. Б. д.;;РА. 1867. Кн. 5—6. Стб. 819. Перепечатано: ПЖТ. С. 176.;автограф
329;А. И. Тургенев;м;март 1817;Дерпт;Любезный друг;Любезный друг! Вот и сам граф Мантейфель в Петербурге;Tout à vous Joukovsky;15;537;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 307. Б. д.;;РС. 1901. Стб. 135—136, с пометой: «В марте 1817 г., Дерпт».;автограф
330;А. И. Тургенев;м;конец марта 1817;Дерпт;;За Воейкова благодарю сердечно. Ливен уже сказал ему, что получил от тебя книги;;15;538;;РО ИРЛИ. Ф. 309. No 124. Л. 323. Б. д.;;РА. 1867. Кн. 5—6. Стб. 812—813. Перепечатано: ПЖТ. С. 175—176;автограф
331;П. А. Вяземский;м;март 1817;Дерпт;Милый друг;Милый друг, ты пишешь ко мне мало и редко;;15;538;;РГАЛИ. Ф. 195. Оп. 1. No 1909а. Л. 8—8 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
332;А. И. Тургенев;м;25 апреля 1817;Дерпт;мой милый друг;Письмо Свечиной обмануло тебя, мой милый друг, и ты без причины обо мне трепещешь;;15;539;;РНБ. Оп. 2. No 152. Л. 16—17. Б. г.;;ПЖТ. С. 176—179;автограф
333;А. И. Тургенев;м;конец апреля (после 25-го) 1817;Дерпт;;Прошу тебя по моему письму ничего не делать, то есть не говорить с Глинкою и не давать за меня слово;Твой Жуковский;15;542;;РО ИРЛИ. Ф. 309. No 124 (старый шифр). Л. 315. Б. д.;;РС. 1901. Стб. 137;автограф
334;К. Моргенштерн;м;апрель 1817;Дерпт;;Joukovsky vous prie de venir dîner chez lui;;15;542;;неизвестен;неизвестен;Ученые записки Юрьевского университета. 1904. No 5. Приложение. С. 90;текст первой публикации
335;А. П. Киреевская (Елагина);ж;1 мая 1817;Дерпт;Милая сестра;Милая сестра, благодарю Вас от всего сердца за имя брата, сказанное в такую минуту, когда это имя должно было быть Вам утешением;;15;543;;неизвестен;неизвестен;УС. С. 193;текст первой публикации
336;А. Е. Измайлов;м;22 июня 1817;Петербург;М<илостивый> г<осударь> Александр Ефимович;М<илостивый> г<осударь> Александр Ефимович! Принимая с сердечною признательностью лестный дар Вашего Общества;;15;543;;неизвестен;РО ИРЛИ. Ф. 461. No 10. Л. 1;ИВ. 1889. Т. 37. No 7—9. С. 215;текст первой публикации
337;М. А. Мойер (Протасова);ж;июнь—июль 1817;Петербург;милая Маша;"Посылаю к тебе деньги, милая Маша; уведомь о получении";;15;543;;неизвестен;;РС. 1883. Т. 40. No 10. С. 79;текст первой публикации
338;А. П. Елагина;ж;середина июля 1817;Петербург;милая сестра;Благословляю Вас от всего сердца, милая сестра;;15;544;;неизвестен;РНБ. Оп. 2. No 442. Л. 13—14 об., с пометой: «(СПб. 1817. В июле)». См. примечания к письму Жуковского к А. П. Елагиной от второй половины сентября 1814 г.; УС. С. 25—27, с пометой: «(Июль 1817 г.)»;копия
339;П. А. Вяземский;м;11 августа 1817;Петербург;Душа моя, душенька;Душа моя, душенька, посылаю тебе несколько экземпляров «Вадима» ;;15;545;;РГАЛИ. Ф. 195. Оп. 1. No 1909а. Л. 1. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
340;"А. И.; Н. И. Тургеневым";"м; м";18 сентября 1817;Петербург;Варвик и Арфа;Варвик и Арфа! «Арзамас» у Врана;;15;547;;РНБ. Оп. 2. No 153. Л. 1. Б. д.;;ПЖТ. С. 179—180;автограф
341;И. И. Дмитриев;м;20 сентября 1817;Петербург;"Милостивый государь Иван Иванович; Ваге превосходительство";Приношу искреннюю благодарность Вашему превосходительству за дружеское письмо Ваше;Жуковский;15;547;;РНБ. Оп. 2. No 73. Л. 91—92. Б. г.;;РА. 1870. Стб. 1703—1705;автограф
342;П. А. Вяземский;м;конец сентября 1817;Петербург;;Я буду в Москве около десятого октября;Твой Жуковский;15;548;;РГАЛИ. Ф. 195. Оп. 1. No 1909 . Л. 71. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
343;"А. И., Н. И. Тургеневым; Д. Н. Блудову; К. Н. Батюшкову";"м; м; м; м";около 9 октября 1817;Москва;друзья Тургеневы, Блудов и Батюшков;Здравствуйте из Москвы, друзья Тургеневы, Блудов и Батюшков;Ваш Ж.;15;548;;РНБ. Оп. 2. No 154. Л. 1—1 об. Б. д.;;ПЖТ. С. 180—181;автограф
344;Н. М. Лонгинов;м;12 октября 1817;Москва;;Виноват! Виноват! Я хотел быть у Вас поутру, но не успел никак;Ваш покорнейший слуга Жуковский;15;549;;РО ИРЛИ. No 23678 (архив Н. М. Лонгинова). Л. 7—7 об. На л. 7 об. след от печати и указание адресата: «Его высокоблагородию милостивому государю Николаю Михайловичу Лонгинову»;;ПСС Жуковский в 20 т., т. 15;автограф
